Precinct,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9,COUNT
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-08,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-01,TY MOORE,UWI,undervote,1
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-03,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,ALONDRA CANO,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,GREGORY MCDONALD,TY MOORE,1
MINNEAPOLIS W-9 P-01,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,UWI,UWI,UWI,1
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-01,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-07,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,ABDI ABDULLE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-06,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-06,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,ABDI ABDULLE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-06,TY MOORE,CHARLES CURTIS,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-03,TY MOORE,GREGORY MCDONALD,UWI,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-04,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-05,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,ABDI ABDULLE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,TY MOORE,ABDI ABDULLE,undervote,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-01,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-03,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-06,GREGORY MCDONALD,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-04,UWI,TY MOORE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-07,TY MOORE,PAT FLEETHAM,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,TY MOORE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,GREGORY MCDONALD,ABDI ABDULLE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,PAT FLEETHAM,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-06,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-04,CHARLES CURTIS,UWI,UWI,1
MINNEAPOLIS W-9 P-05,TY MOORE,ALONDRA CANO,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-05,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,CHARLES CURTIS,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,ALONDRA CANO,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,undervote,1
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,GREGORY MCDONALD,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,PAT FLEETHAM,undervote,undervote,1
MINNEAPOLIS W-9 P-03,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,TY MOORE,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,GREGORY MCDONALD,undervote,1
MINNEAPOLIS W-9 P-03,PAT FLEETHAM,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-05,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-06,ABDI ABDULLE,GREGORY MCDONALD,ALONDRA CANO,1
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,GREGORY MCDONALD,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-05,TY MOORE,ABDI ABDULLE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,ALONDRA CANO,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,ABDI ABDULLE,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-02,ABDI ABDULLE,CHARLES CURTIS,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,PAT FLEETHAM,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-06,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-03,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,1
MINNEAPOLIS W-9 P-05,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-05,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-06,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-05,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-06,GREGORY MCDONALD,PAT FLEETHAM,ALONDRA CANO,1
